"auth_id","user_id","entre_id","fact_id","enable"
UID001E001_22150,UID001,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
UID001E001_12150,UID001,E001_1,HnYkFQt4R4O2Z8vhXu_89g,Y
UID001E001_45000,UID001,E001_4,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID001E001_35000,UID001,E001_3,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID001E001_25000,UID001,E001_2,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID001E001_15000,UID001,E001_1,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID001E001_42070,UID001,E001_4,wMusebC4R4i3HKNLOrHtbA,Y
UID001E001_32070,UID001,E001_3,wMusebC4R4i3HKNLOrHtbA,Y
UID001E001_22070,UID001,E001_2,wMusebC4R4i3HKNLOrHtbA,Y
UID001E001_12070,UID001,E001_1,wMusebC4R4i3HKNLOrHtbA,Y
UID002E001_15080,UID002,E001_1,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID002E001_25080,UID002,E001_2,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID002E001_35080,UID002,E001_3,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID002E001_45080,UID002,E001_4,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID002E001_12150,UID002,E001_1,HnYkFQt4R4O2Z8vhXu_89g,Y
UID002E001_22150,UID002,E001_2,HnYkFQt4R4O2Z8vhXu_89g,Y
UID002E001_32150,UID002,E001_3,HnYkFQt4R4O2Z8vhXu_89g,Y
UID002E001_42150,UID002,E001_4,HnYkFQt4R4O2Z8vhXu_89g,Y
UID002E001_12151,UID002,E001_1,R0gPBhnSQ5aknFY32qqbTQ,Y
UID002E001_22151,UID002,E001_2,R0gPBhnSQ5aknFY32qqbTQ,Y
UID002E001_32151,UID002,E001_3,R0gPBhnSQ5aknFY32qqbTQ,Y
UID002E001_42151,UID002,E001_4,R0gPBhnSQ5aknFY32qqbTQ,Y
UID002E001_15000,UID002,E001_1,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID002E001_25000,UID002,E001_2,EXcOKT3aRE2rAYwD5Q7Zs,Y
